"","country","year","SL.UEM.TOTL.ZS","SI.POV.GINI","NY.GDP.PCAP.PP.KD","SM.POP.NETM"
"1","Denmark",1960,NA,NA,NA,-726
"2","Denmark",1961,NA,NA,NA,-400
"3","Denmark",1962,NA,NA,NA,152
"4","Denmark",1963,NA,NA,NA,545
"5","Denmark",1964,NA,NA,NA,1060
"6","Denmark",1965,NA,NA,NA,1584
"7","Denmark",1966,NA,NA,NA,2089
"8","Denmark",1967,NA,NA,NA,2561
"9","Denmark",1968,NA,NA,NA,2961
"10","Denmark",1969,NA,NA,NA,3337
"11","Denmark",1970,NA,NA,NA,3763
"12","Denmark",1971,NA,NA,NA,4087
"13","Denmark",1972,NA,NA,NA,4349
"14","Denmark",1973,NA,NA,NA,4568
"15","Denmark",1974,NA,NA,NA,4635
"16","Denmark",1975,NA,NA,NA,4643
"17","Denmark",1976,NA,NA,NA,4527
"18","Denmark",1977,NA,NA,NA,4254
"19","Denmark",1978,NA,NA,NA,3905
"20","Denmark",1979,NA,NA,NA,3449
"21","Denmark",1980,NA,NA,NA,2904
"22","Denmark",1981,NA,NA,NA,2575
"23","Denmark",1982,NA,NA,NA,2456
"24","Denmark",1983,NA,NA,NA,2606
"25","Denmark",1984,NA,NA,NA,2926
"26","Denmark",1985,NA,NA,NA,3498
"27","Denmark",1986,NA,NA,NA,4227
"28","Denmark",1987,NA,26.2,NA,5265
"29","Denmark",1988,NA,NA,NA,6443
"30","Denmark",1989,NA,NA,NA,7849
"31","Denmark",1990,NA,NA,39027.9787365148,9449
"32","Denmark",1991,9.1,NA,39469.3228084159,10812
"33","Denmark",1992,9.03,24.7,40108.8919453015,11990
"34","Denmark",1993,10.72,NA,39979.7573849561,13011
"35","Denmark",1994,8.04,NA,41969.6887111547,13723
"36","Denmark",1995,6.99,23,43015.6775097607,14157
"37","Denmark",1996,6.84,NA,44013.3855851544,14394
"38","Denmark",1997,5.4,NA,45260.1371186812,14313
"39","Denmark",1998,5.04,NA,46096.3697234041,13972
"40","Denmark",1999,5.14,NA,47298.5373518437,13391
"41","Denmark",2000,4.48,23.8,48907.0114021027,12536
"42","Denmark",2001,4.16,NA,49133.2231026505,11934
"43","Denmark",2002,4.27,NA,49204.8990055345,11518
"44","Denmark",2003,5.4,25.6,49262.6449732556,11337
"45","Denmark",2004,5.2,24.9,50446.5416048985,11366
"46","Denmark",2005,4.83,25.2,51483.273786293,11693
"47","Denmark",2006,3.9,25.9,53322.2889991783,12217
"48","Denmark",2007,3.8,26.2,53569.0280238008,13067
"49","Denmark",2008,3.68,25.2,52982.5317373493,14111
"50","Denmark",2009,6.41,26.7,50114.0500523227,15469
"51","Denmark",2010,7.75,27.2,50825.4122929358,17037
"52","Denmark",2011,7.77,27.3,51293.2061782002,18519
"53","Denmark",2012,7.8,27.8,51216.309409926,19732
"54","Denmark",2013,7.38,28.5,51479.2664533017,20779
"55","Denmark",2014,6.93,28.4,52048.3354927846,21670
"56","Denmark",2015,6.28,28.2,52892.6460290247,22368
"57","Denmark",2016,5.99,28.2,54185.0084787703,22859
"58","Denmark",2017,5.83,28.7,55356.680780178,23188
"59","Denmark",2018,5.13,28.2,56178.7746299825,23337
"60","Denmark",2019,5.02,27.7,56813.9641554635,23305
"61","Denmark",2020,5.64,27.5,55518.5971009156,23076
"62","Denmark",2021,5.06,NA,57962.6540943813,22746
"63","Denmark",2022,4.172,NA,NA,NA
"64","France",1960,NA,NA,NA,160864
